class,hash,time,token,type,from,to,px,amount,value,USDAmount,priority,fee
PERP,0x27c3088e3e460136fcf3042736467c01300104d9658783d252d6912c262abbd6,1752149130893,FARTCOIN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.1522,4337.7,4997.897939999999,4997.897939999999,-1,0
PERP,0x51cd9ee3bfe22a502821042736467c01300103e9da61a15ef5cebd099215cccd,1752149130893,FARTCOIN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.1529,867,999.5643,999.5643,-1,0
PERP,0xc3a0e49bdd1438b007e6042736467c0130010221a83d7f57ae05f6fcbd12ded1,1752149130893,FARTCOIN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.1532,-130,-149.916,-149.916,-1,0
PERP,0x9ce081887d4781b62636042736467c01300101fb17cf7bd2204e2737f12682f8,1752149130893,FARTCOIN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.1529,130,149.877,149.877,-1,0
PERP,0x7fcca7db5d33ec4f80df042736467c0130004614cbc28058643f155a31ffd5f5,1752149130893,FARTCOIN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.1533,-866.8,-999.68044,-999.68044,-1,0
PERP,0x5f1cdaa1bd51da98c05c042736467c012f006380ec175c6fc3d3f0ac5d87760c,1752149130893,DOGE,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.18039,5541,999.54099,999.54099,-1,0
PERP,0xc7eb3fa79e02aa95e96a042736467c012b01022f7c86481406c490356a246e16,1752149130893,MOODENG,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.20656,4839,999.5438399999999,999.5438399999999,-1,0
PERP,0x28aa347226d10631ea40042736467c012b0101fc85c4f89d003ae75d1974409b,1752149130893,MOODENG,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.20666,2418,499.70388,499.70388,-1,0
PERP,0x42572382b2fa1dec6ac5042736467c012b009331e766a14381a0879add526ce5,1752149130893,MOODENG,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.20703,-2414,-499.77042,-499.77042,-1,0
PERP,0xbaf5a847a10699f76dc4042736467c010c01019de66ff376d9c1338968383dac,1752149130893,EIGEN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.247,801.58,999.5702600000002,999.5702600000002,-1,0
PERP,0x12d9002de9f109b91b4c042736467c010c00489c43d37e5dea82d4b7fbd44264,1752149130893,EIGEN,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,1.2489,-400.23,-499.847247,-499.847247,-1,0
PERP,0x21a197d136b8cc736fef042736467b01750090c9b54dc98e0970a11a4c0b9199,1752149130811,ETH,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,2777.5,-17.996,-49983.89,-49983.89,-1,0
SPOT,0x08f7af1ac618b71f88df042736467b016a00845ef84ee2cce6134c9f02ef4ce2,1752149130811,UETH,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,2777,-0.856,-2377.112,-2377.112,-1,0
PERP,0x9256550d98f736588a0a042736467b0113007b19d4a4f513a4f59cef9f6bd875,1752149130811,SUI,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,3.2197,310.4,999.39488,999.39488,-1,0
PERP,0xa135cc8ae92238dcbb1e042736467901130021aac5970ae62e9d007c6dc35723,1752149130699,POPCAT,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.34216,-1460,-499.5536,-499.5536,-1,0
PERP,0xd252cd4032909e6ed4250427364679010d0069a1cc9bba5fc6da3f83a680bf11,1752149130699,PURR,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.20127,-1774,-357.05298,-357.05298,-1,0
PERP,0xe01dbe089518b031b4dc0427364677016600b453b22ac5ffaade0f6d14f1eb37,1752149130557,TRUMP,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,9.2486,-27,-249.7122,-249.7122,-1,0
PERP,0x33dd6bccf6993fe125840427364677015101039770515d373973f30179aceb4a,1752149130557,PENGU,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.019505,128125,2499.078125,2499.078125,-1,0
PERP,0x2769347fda544cccb0e30427364677015101022bb7de68679e3f94f8ef3aeb3a,1752149130557,PENGU,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.019516,25610,499.80476,499.80476,-1,0
PERP,0x0891416ba6ba7bfb39f2042736467701510101a7fa4aa279c16686d0d90395d6,1752149130557,PENGU,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.01952,7681,149.93312,149.93312,-1,0
PERP,0x60d5eaa2bcbe6edda63e04273646770151008f93a6ff9ca97c2e5a1ac10d01e9,1752149130557,PENGU,order,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,limit,0.019552,-127824,-2499.214848,-2499.214848,-1,0
