class,hash,time,token,type,amount,from,to,px
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1738362018060,FLY,Twap,367876.02,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,0.021183799834537116
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1738362005069,HYPE,Twap,12301.930000000002,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,26.68216148514594
TRANSFER,0x2dfb7f2413f99b977306041ce518db020104004e33e2c3724707a4b5c6978145,1738361461412,USDC,InternalTransfer,336015.58,PERP,SPOT,1
DEPOSIT,0xfb55731bda2194c2d47a17ad0054725d1d969db13cefcc5eac2f52b741c623f7,1738361430237,USDC,Deposit,336015.58,Arbitrum,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,1
FAILED,0x2e7fc1058558d9eafde9041ce5174002030500340d7efdb2f59726e583d3a752,1738361430237,-,VoteEthDepositAction,,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,Deposit has already been credited.,
SPOT,0xafcbfcf66f4d87ce31cf041cc88bcb0204cb003acdeaa404152ceb7901fff2e3,1738208860962,HYPE,Buy,472.96,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,25.95
SPOT,0xee2bafe6ad0d75aef9d2041cc88bc202043d00e4b6e3469e0a323d4b6f1865f5,1738208860327,HYPE,Buy,43.81,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,25.95
SPOT,0xafcc09b4c6541a95ffb1041cc88bbf02057a003e0ce58fb6bc2181c6ef82a764,1738208860127,HYPE,Buy,1,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,25.95
SPOT,0xbf8371d068f93025ce88041cc88bb902019500a0e2d3b8bfc1306af125e44f75,1738208859721,HYPE,Buy,500,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,25.95
SPOT,0x09457ddb89a872207746041cc88bb2019f0095f42d7e54fbfc75b1dd184dc0f3,1738208859263,HYPE,Buy,38.21,0xffffffffffffffffffffffffffffffffffffffff,0xee5c571813227fe7bbeef6fdd9f3e0592aca4799,25.95
