class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,15334.26849918,0x0000000000000000000000000000000000000000,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,-,0
TRANSFER,0x1c651d412dd98bda42e90425b46d0e02021c00b28bc85dac5146718d1ee36e99,1750188131446,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,-,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749910652009,SPH,Twap,728.42,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749910453063,STACK,Twap,1752.8699999999997,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749910229005,JEFF,Twap,119,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749910139079,ATEHUN,Twap,937.2600000000001,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749910092048,STACK,Twap,1625.7199999999996,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748268118003,STACK,Twap,1565.68,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748268089081,VAPOR,Twap,214422,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748268039045,NOCEX,Twap,1524.1299999999999,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748268017042,ATEHUN,Twap,366.64,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748267793058,STACK,Twap,1421.2799999999997,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748113857064,STACK,Twap,1755.6399999999999,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1748113422018,STACK,Twap,4214.249999999999,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,,
SPOT,0x9a56a11049bec256206204241e0e59020509004c3b0e6c740a8cc70f28393d27,1748112736377,STACK,Buy,1009.24,0xffffffffffffffffffffffffffffffffffffffff,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,1.7150604000000003,0
TRANSFER,0x832c842b569193a5216204241e0695020133005b54d56d2256720b7eeef81eb4,1748112575933,USDC,InternalTransfer,20000,PERP,SPOT,0,20000,0
DEPOSIT,0xadc9e042ea72f6d32097dad68a8eb68420edd7fe12ef65ebbc82ee338b08c30a,1748112523788,USDC,Deposit,20000,Arbitrum,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,20000,0
FAILED,0xa1fbe3d8a7a7ef54215304241e042801090018d15bdaef4fdb0c5f9682730d6c,1748112523788,-,VoteEthDepositAction,,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,Deposit has already been credited.,0,-,-1
TRANSFER,0x03224b60496746a9a90f041e2fff57020219003c0ef9c0efc3b18600cb826ec9,1740143599636,JPEG,Transfer,82236.84210526,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,616.6118421052395,0
TRANSFER,0x62c44891e33b10443b2e041d9d18dc01a700f05f8d5f6ec9eadf75dc52c44199,1739350603669,TIME,Transfer,8333.333333,0xb932c0d5c87b5f8354cc8898ba74e5f28510c10e,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,21.693333332465603,0
TRANSFER,0x967ead0d7fc833076dd1041bac650c0201ea0077958a6f544904419b76fd6aaa,1737110077334,SENT,Transfer,6000,0x3d855cf5fff6eec436123d8f49e7afeac2b2a242,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.282,0
TRANSFER,0x207efc63ae745cfd7e86041b94935b020313000e21ea9310b46d8317a4291b62,1737011010410,USDC,Transfer,0.022181,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.022181,0
TRANSFER,0xb8cbc17623dc71b0aac8041b9487720202cd00298877ab1578407aadff746f0a,1737010816287,USDC,Transfer,0.022181,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.022181,0
TRANSFER,0xe2e94782e79fc47bc372041b947c95020159002b145711302283a99deb9e26a3,1737010638574,USDC,Transfer,0.022181,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.022181,0
TRANSFER,0x277d72f1b6f29dc30881041b9468790202b300eff5e080f4c06a25abadb0c28b,1737010310990,USDC,Transfer,0.022181,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.022181,0
TRANSFER,0xc6b25b72017c96b3e659041b9463760201e500fba5114ae9d20d4ea2a3c18de7,1737010230001,USDC,Transfer,0.022181,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,0,0.022181,0
