class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752135386011,BTC-USD,Close Long,-0.71689,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111208,-79723.90312,0,0
PERP,0x1339b3d59fac139fec360427334e1e01ac009836944c56dad0764c2eddd43697,1752134382645,BTC-USD,Close Long,-0.00047,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111208,-52.267759999999996,0,0
PERP,0xb5e91b00277137af70280427334e100201ca00ef9f98ddd7133ad51a70655c7d,1752134381703,BTC-USD,Close Long,-0.0009,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111208,-100.0872,0,0
PERP,0x9d1c99aac872812b4f1d0427334dd301fb00b02e1dbb2e3d6c43b24159e1520d,1752134377304,BTC-USD,Close Long,-0.0009,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111208,-100.0872,0,0
PERP,0xefcf5e9dceb304dddc570427334db202027f009daafd06dd4db17e1a9b45bdf1,1752134374848,BTC-USD,Close Long,-0.03,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111208,-3336.24,0,0
PERP,0xba6f26e249b3879cdd3c04273347870201620062a2415d3db6d0aac0b034d311,1752134258700,BTC,order,-1.27666,0xf517639a8872e756ac98d3c65507d2ebc25cc032,limit,111208,-141974.80528,-1,0
PERP,0x4bd2ca69990457b82ce5042732ab950202c9006e3a6e506bdc5a7316879da0e7,1752131224427,PUMP,order,1709366,0xf517639a8872e756ac98d3c65507d2ebc25cc032,limit,0.003788,6475.078408,-1,0
PERP,0xfbe9ffc4e41dbeed36e80427329a5802018e0056512c02f8e540e402212e1f4c,1752130890819,BTC-USD,Close Long,-0.04145,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-4611.43685,0,0
PERP,0x1e3ee72130442dc599920427329a5102032800d740657146a62afeac4ed5cf34,1752130890362,BTC-USD,Close Long,-0.00577,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-641.92981,0,0
PERP,0x200124fc2ccaed2d35bd0427328a1401a80001665d02e2fbc530bccc0352f8d6,1752130576420,HYPE-USD,Close Long,-16.9,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,41.769,-705.8960999999999,0,0
PERP,0x623b4987488f04e84ce90427328a1302020b00052f6519720ad8701c63c514e3,1752130576329,HYPE-USD,Close Long,-71.83,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,41.769,-3000.26727,0,0
PERP,0xc7d74fa450289e8641510427328a130201fd00f963a52774fc5bc89891147d9b,1752130576329,HYPE-USD,Close Long,-71.82,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,41.769,-2999.8495799999996,0,0
PERP,0xdb1dd5e9a642c2e8273b0427328a130201f900d3cbab59fcc3db6f57bd251c4c,1752130576329,HYPE-USD,Close Long,-49.44,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,41.769,-2065.0593599999997,0,0
PERP,0x210fc7180f28e8a2ca8e0427324a3301d700981d0ce406fc1c544eff2541f58c,1752129334552,BTC-USD,Close Long,-0.00089,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-99.01517,0,0
PERP,0xa72b9c6750380e765a580427324a230205db00a8741c27ed2c72a1bf2642f793,1752129333183,BTC-USD,Close Long,-0.012,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-1335.036,0,0
PERP,0x1cffdfe0202403a170780427324a230205cc008090206224b47c91f9ec16633b,1752129333183,BTC-USD,Close Long,-0.007,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-778.7710000000001,0,0
PERP,0xe4565c0a69ea58f11ac80427324a210207bd00f22f4fbfb4c66325fd99103454,1752129333056,BTC-USD,Close Long,-0.007,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-778.7710000000001,0,0
PERP,0x974ae831d5045a0012510427324a1b0205ed0047d85f3b3122382ac9b2d6afe9,1752129332523,BTC-USD,Close Long,-0.041,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-4561.3730000000005,0,0
PERP,0x88e5b425154d0ed99d1b0427324a1702073b00a935cd418ca294b148e244bf82,1752129332267,BTC-USD,Close Long,-0.007,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-778.7710000000001,0,0
PERP,0x7314736f7db760af983e0427324a170206ec005620484d6a99959ddf08372697,1752129332267,BTC-USD,Close Long,-0.0405,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-4505.7465,0,0
PERP,0x0c94d8f1b5a233fa549d0427324a170206dd00923c5c1c6c65e70c330d238125,1752129332267,BTC-USD,Close Long,-0.011,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-1223.783,0,0
PERP,0x8977565e0cf6d7a435ac0427324a140205290084c337d736eb899efc713c7e0c,1752129332067,BTC-USD,Close Long,-0.03,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-3337.5899999999997,0,0
PERP,0xda879ff16fef09759de40427324a140204f400769342609f1a395e28a1192c65,1752129332067,BTC-USD,Close Long,-0.02834,0xf517639a8872e756ac98d3c65507d2ebc25cc032,0xffffffffffffffffffffffffffffffffffffffff,111253,-3152.9100200000003,0,0
PERP,0x0a8261504348e26039be0427323f5301550027dd03f00d2db2bb30395c569040,1752129121666,HYPE,order,-209.99,0xf517639a8872e756ac98d3c65507d2ebc25cc032,limit,41.769,-8771.07231,-1,0
