class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,81533.56423604,0x0000000000000000000000000000000000000000,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,-,0
VALIDATING,0xae391864f45059573fbd04255eb73102019100d453446cb6197959475a3641eb,1749749984703,-,tokenDelegate,,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,-,0,-,-1
TRANSFER,0xe0910d6ccd4e219bbf4c04215c4d6501aa00a3ec2db5bdfe2c0d27ad3bb38d43,1744405460750,HYPE,Transfer,1050842.9403,0x5a26ef07e42f18a5a545994cad6956b8f732ed36,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,43427135.3508378,0
TRANSFER,0xbd7b1cfaebccc68738b204215c4a54014d00c4a7c0c72a6b3555cdca1a292350,1744405396511,USDC,Transfer,747.03789247,0x5a26ef07e42f18a5a545994cad6956b8f732ed36,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,747.03789247,0
TRANSFER,0xb2999243dcc063615a22041ee4e75101660013dcfb6d6573820890cf65e7d936,1741096190798,USDC,InternalTransfer,-15708033.53,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0x5a26ef07e42f18a5a545994cad6956b8f732ed36,0,-15708033.53,0
VAULT,0xdfa2f2450a6aeaf802f0041ee4e58001c0005ffbe7edfa54241fe85b9077d90c,1741096151396,USDC,vaultWithdraw,15708033.538618,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,15708033.538618,0
TRANSFER,0x9cf212b3f94e7386974e041ee4d67f01ae001ccfd677b3d4a03161deeb7440d8,1741095844946,HYPE,Transfer,469614.52677,0x5a26ef07e42f18a5a545994cad6956b8f732ed36,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,19407289.93329702,0
SPOT,0x7a8cd32e268ffe9c916f041e5cf6cf02012100bfe46be27ed0a8ff8ca7a350a8,1740384352258,HFUN,Buy,2.62,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,136.55702000000002,0
SPOT,0x06ad09398cde5161fdc3041e5cf6770202b3004b0e2a249e7286f5548aa4c5dc,1740384344775,HFUN,Buy,19.18,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,999.68078,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1740384338004,HFUN,Buy,8.27,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,431.04067,0
SPOT,0x9f2b70c05c01a1e382dd041e5cd1e70141003d39f28ffc0120eee1c4866166d9,1740383577876,HFUN,Buy,2.44,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,127.17524,0
SPOT,0x30c294a933513ffc2519041e5cc6d90151008cec0dd2642a8a3ba592382a006c,1740383345165,HFUN,Buy,15.42,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,809.9354999999999,0
SPOT,0x8a6ccaaa24228f1cc1f1041e5cc6cd01ac004751c15558b585a356a0a6632fc7,1740383344092,HFUN,Buy,18.79,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,986.9447499999999,0
SPOT,0x9180940b3542c678ecb3041e5cc52e0173007b16bb58fe9378bbd5785ea0aaaf,1740383309693,HFUN,Buy,18.79,0xffffffffffffffffffffffffffffffffffffffff,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,986.9447499999999,0
