class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
SPOT,0x64a52025aa8758bebbae042736395a02023a0096726fb9efdde2701414b07fa4,1752148876422,HYPE,Buy,242.13,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.3,9999.969,0,0
SPOT,0x0333fad4c5931f406490042736248401580027748654e2ec923af0d0457bb6ed,1752148474669,HYPE,Buy,32.25,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.329,1332.86025,0,0
SPOT,0x4c25e7d6c3655c2940c4042736248302011b00d58c5a6b45b60149ab12181908,1752148474586,HYPE,Buy,124.37,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.329,5140.08773,0,0
SPOT,0x89752a54401fe793873c042736247a01ed0016017b5d106560c1e9f3b39c9153,1752148473983,HYPE,Buy,58.79,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.33,2429.7907,0,0
SPOT,0x1bb13e51cfb868d83a1504273624500201ac006aabe01821f324f27c8cb0ab0d,1752148470717,HYPE,Buy,19.78,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.331,817.5271800000002,0,0
SPOT,0x7fd25e9e7e92f606e31304273623a802034f0087d1a83c26b6aa596c6e5bd8f1,1752148456650,HYPE,Buy,19.5,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.332,805.974,0,0
SPOT,0x0de435f3953cd8f5cd9a04273622fa01f200ca028f5eef9bd26724c087886fc3,1752148443203,HYPE,Buy,19.25,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.333,795.66025,0,0
SPOT,0xdc61e2ef428f5b18f1cd042736025d0156002ab79f44bbf6e9dbaf5a3fbea8f7,1752147809078,HYPE,Buy,19.65,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.325,812.03625,0,0
SPOT,0x3d6e6ebf6771e7ebed2f04273600f602020600272e1487b5e0a4c88052a3e161,1752147783799,HYPE,Buy,241.97,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.327,9999.894189999999,0,0
SPOT,0x07a77eef6866874551bb0427359a4902025e00369f0f0111d363e382e074f578,1752145772088,HYPE,Buy,222.2,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.251,9165.972199999998,0,0
SPOT,0x61b1d60d756db4d52367042735780b02014c000615b856ce3a0bc5965ab97fd7,1752145103917,HYPE,Buy,178.29,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.214,7348.044059999999,0,0
SPOT,0xcb1d9dfa1343dab46aba0427356a3f02012900d20ee6269129e1fe552171a196,1752144830862,HYPE,Buy,1.75,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.32,72.31,0,0
SPOT,0x10b2411badad01e47bf60427356a3d0201a000ba677a9f8d72358f809f2ff23e,1752144830663,HYPE,Buy,29.75,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.32,1229.27,0,0
SPOT,0x7e431854f4e72438daec0427356a3d02019f00f2e96e544a787cd092dc890d48,1752144830663,HYPE,Buy,30,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.32,1239.6,0,0
SPOT,0xe6bb831fe3b737809d6e0427356a3c01c40034fd0d70c348a6574ca734d70745,1752144830482,HYPE,Buy,30,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.32,1239.6,0,0
SPOT,0x60a5b21e332956f569040427356a3b02011700552507ffba4f9f05a66b582bbb,1752144830412,HYPE,Buy,150.51,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.32,6219.0732,0,0
SPOT,0xff56bc131b4c4a4ae25604273543a201dd00a3eef33e490d426c86425729fa7e,1752144080356,HYPE,Buy,45.33,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.383,1875.89139,0,0
SPOT,0x3567d8aa4f76a939daab04273543a201dc0040a0e6d4b9dbaaccf84c95866069,1752144080356,HYPE,Buy,44.11,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.383,1825.4041300000001,0,0
SPOT,0x1ae1ed76a4010fca30fc04273543a001d300bb8c9ba24369aed98dce90aca123,1752144080177,HYPE,Buy,147.38,0xffffffffffffffffffffffffffffffffffffffff,0xfefefefefefefefefefefefefefefefefefefefe,41.383,6099.02654,0,0
