class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,15968.51156751,0x0000000000000000000000000000000000000000,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,-,0
WITHDRAW,0x9cee552d4c2d07b5c146f14b95506f1ec11ad0af2895c5ec04b91e626045650c,1748580304592,USDC,Withdraw,-2164532,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,Arbitrum,1,-2164532,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1748575505052,kPEPE-USD,Twap,-309529913,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,,,
DUST,00000000000000000000000000000000000000144,1747526400066,VAULT,Spot Dust Conversion,-0.00277521,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-0.00018449318559,0
SPOT,0xf6108c618baa33d82e0604239f9eca020546001386960e2a473da5117b25223c,1747466661604,VAULT,Sell,-529.55,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-4.321135,0
PERP,0xc59c494bb1fc208144d204239bb44d02034600f512fa4a0027c0326446cf9980,1747446667695,kBONK-USD,Close Long,-33592594,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-56724.199776,0
PERP,0x379ae3f49ec071e29ffd04239bb3d802035700c445146f311a1b1540b4088bc4,1747446658151,kBONK-USD,Close Long,-34010338,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-332862.716055,0
PERP,0x3d8c930f1e7379e9540d04239bb34b0206c30081314e0cec9ca3db8c6db82fd0,1747446645824,kBONK-USD,Close Long,-34010338,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-72970.431107,0
FAILED,0x0953c3baf9580341406c04239bb2c1018c006ce480a0074585cf208a9bb378a8,1747446634827,-,twapCancel,,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,"TWAP was never placed, already canceled, or filled.",0,-,-1
PERP,0x15dd44d75d6d3b4602a9042362ad1802031700e8ae32cabde39f56cf1edc740d,1747153383845,TRUMP-USD,Close Short,119735.50000000006,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,18183.717,0
PERP,0x8e85423044836cb43d980423378fd902037f00b1851d91687c5941a08adf6e44,1746928455330,kPEPE-USD,Open Long,100000000,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,6560.17674,0
PERP,0x28b72f7d8ba6a61485160423378ed90207e2003e304df8e083a459817bdb4ffd,1746928433534,kPEPE-USD,Open Long,100000000,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,314784.142642,0
LIQUIDATION,0xc0915e899dbe1a02a85004233696e302067d00ec846ea31fce382a0d077927ca,1746923392011,TRUMP,liquidation,168122.5,-,-,0,-,0
PERP,0x7ac9541da35855e11d8b04233696c30128006ef04bd976a968531c276911b1d1,1746923389143,TRUMP-USD,Close Long,-551877.5000000001,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-75825.8502,0
PERP,0xd7a06c91a993924866a204233696a10110009b86c7285d3fb0bd5ea0e42279b1,1746923386202,TRUMP-USD,Close Long,-179999.9999999999,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0xffffffffffffffffffffffffffffffffffffffff,0,-622834.6912,0
PERP,0x7bc708f92d59520130a8042336015702048a00238df243d175a97b9bfa1bef62,1746920344913,TRUMP-USD,Open Long,100000.00000000004,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,419676.89400000003,0
PERP,0x7bb78c898a37e09c4ff4042335ba040201f500afc11c9c07c1a89e7636394849,1746918880769,TRUMP-USD,Open Long,99999.99999999999,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,188918.14740000002,0
PERP,0x159a5782a87c853adc40042335b7630203ea00cb85d33021af5056b5e14d6a4e,1746918829575,TRUMP-USD,Open Long,100000.00000000001,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,462876.4873,0
PERP,0xe30e64c9810578d33291042335b4c6020163000ed7d29613375a1d74de876706,1746918780840,TRUMP-USD,Open Long,100000.00000000006,0xffffffffffffffffffffffffffffffffffffffff,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,20183.6313,0
DEPOSIT,0xe29577fdc3b2c54ac490a8fdaddc9ca3be820ce55c6fba7efd8c891b4879a54e,1746917951428,USDC,Deposit,5000000,Arbitrum,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,0,5000000,0
FAILED,0x255c567c68fba4e8551c0423358bbe01aa00580c8721a62ab37e8d99996c910f,1746917951428,-,VoteEthDepositAction,,0xffe664491482ae9db6ba9e55c2ed1ea55c700a52,Deposit has already been credited.,0,-,-1
