class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xc9f82c96ef4ae4c7149a04271479dc01220016eaad2bd53792655e77234062e7,1751980069857,HYPE,Transfer,-100000,0x716bd8d3337972db99995dda5c4b34d954a61d95,0x156fdf14cdb80c9623b5eb06a164a799aa719119,37.8145,0,-3781450.0000000005,0
TRANSFER,0x5c9540130ef4940eefd50426be7cb101af00aa3112d98599e56ecac30b9261af,1751544048759,HYPE,Transfer,9075.8552577,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,343198.92864229664,0
TRANSFER,0xc4796bbd6e4ffea62bda0426bdc3c20201c70058dfda20abf7b0e6766f4505ca,1751540448916,HYPE,Transfer,66866.4147423,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,2528520.0402727034,0
TRANSFER,0x60cde498be0b746d68550426ae1eb001070014d739bdfe1ecf05c6b7253d19e9,1751462029817,HYPE,Transfer,-135900,0x716bd8d3337972db99995dda5c4b34d954a61d95,0x156fdf14cdb80c9623b5eb06a164a799aa719119,37.8145,0,-5138990.550000001,0
TRANSFER,0xa8c7d7728251748f492a0426a3da4602015a00f4dadccd23f5e833763d4daada,1751410849799,HYPE,Transfer,3141.06,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,118777.61337,0
TRANSFER,0x2690095536a0c90542460426a1afc701890008d16ea284cc7cacf947baece788,1751400048767,HYPE,Transfer,302.12,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,11424.516740000001,0
TRANSFER,0x5c683d215ca0396304ad0426a0f67b012d00d3adcd64852984bcffb25a86d09c,1751396450871,HYPE,Transfer,20699.95,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,782758.2592750001,0
TRANSFER,0x247efc97f42f9de72e9804269e14c601570076d5ca1f6ba8e6ca117583a0e739,1751382048862,HYPE,Transfer,251.21,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,9499.380545000002,0
TRANSFER,0xd7c9b8cda1163d859b3e04269b38a60146001913c565b6800e7b72ce6cf7aa59,1751367646617,HYPE,Transfer,1.89,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,71.469405,0
TRANSFER,0x58db1dc2d5f71b8757d2042697a41102012d00bb4a3738460c9c6474620e8664,1751349649639,HYPE,Transfer,815.53,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0x716bd8d3337972db99995dda5c4b34d954a61d95,37.8145,0,30838.859185,0
