time,action_type,from,to,token,amount,hash
2025-07-06 06:56:44,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,HYPE,0.99958587,0xabdc5d4afce1c4a482b50426edc11b012700bce9bb5396391f7a33e67bd87e3a
2025-07-06 06:56:32,order,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,,0x3429a2b8b1b76b54960b0426edc082020269000f1abf70ce63c9809d9c985aa4
2025-06-23 06:23:58,cWithdraw,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,30000000000000,0xe187267c7e6f9ca0c0fc042610425d020111006322bd8dea0f1600e55fb88405
2025-06-17 19:21:44,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,Self,NEKO,3504.42477876,0x2496d16bcd69b9e88eec0425b46bcf0201f700758db89c22ad27f4442dc2fd9a
2025-06-04 04:26:50,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,HYPE,50000.000008,0x904253dc4bc34ec173320424ce3ce60133006826d1b42c5fde1b972805e084e6
2025-05-27 04:18:59,cWithdraw,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,20000000000000,0x3ebccd71ce1116cdf2a1042446c07e01b300d13b8b34a7c417cdd3f2384c2fb8
2025-05-25 04:37:44,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,HYPE,320000.00004,0x3aec4c68b155fe6a09ab042424f80b014f00115a4769bccf76870de3529cd4a7
2025-05-25 04:37:21,cWithdraw,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,25000000000000,0xf2f22da605a5cec660c0042424f6e80201ca0053a13d874bbe596927b240e2dd
2025-05-15 16:51:22,cWithdraw,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,32000000000000,0x6811dd09bb41fbe5cc7b04238485c6020170006e32f50d8b1efc1af292c984d5
2025-05-09 21:16:15,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,HYPE,400000,0x9e52aebc88e5b8edea29042323af610171001e6629f7d0563fc15be422173cea
2025-03-09 16:28:58,spotSend,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,HYPE,0.99965009,0x75f9f05f14bba47bdd2f041f38cd960204430048d340bc42e824cc012388106f
2025-03-09 16:28:44,order,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,,,,0x1d7f9cef772f0bf41fed041f38ccf6020240002522571d59076fa1a041b10f3c
