wallet,time,action_type,from,to,token,amount,hash
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x23e82bf4c153e3566b8b042712558c01e800539fc5ad0d38d6ea798e8acaec25
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x4956a31bd8e3052a760a042712557c014300ca2e0d90a244ed4bce073599f63a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x5d951d8f396b8dcb2b98042712556e01ae00bf6ac8d41576f74e1666f53234cb
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x62898419b4f92a573135042712556101c8000c56577fdbff86073862d105b390
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x7c3e53f4a286c53077b804271255570201cb0030ffb52b50c8ef5ab25eb324de
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xf653163de146a1373f67042712554c01da00c2d86bb267302b26a6e7166dc7d2
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x2a38a2a99c639d1fb2820427125541015d004bc4ea4e04dfb44bc98cb20010de
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x397b503adaa2301372a9042712553401fd00f71222546b8ffaea18978dbaa078
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x40d72d001f2ac6833839042712552601cd00e9c81c96b2ecee060f77676ae606
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x554aff3ed6fb2a0d2b58042712551701b4009cac608850f2448c9b44fd88165c
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x2cddae7f16b2a22015aa042712550b01c7004796140a2a12b98f68085413a575
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x10ffb0d027db1001fa5a04271254fc020111002da8814bb28abe230e92572f53
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x6e6b1b4fd3760d64506304271254ee01b700f5a2d883e32075dac33714d0f516
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x608cf46756059fabadd104271254e401a700a22e88a5851c5e82114aaeff1e6a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xdce728bf743dd10f5b1504271254d7017f001e272fe6d46cdeeafadd361dd11d
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xcab42fd5aa1e84bd9fb204271254c902022a00b21877c3f703387f7e4effb89e
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb07008f60a37a1666bef04271254bf01c00080d4742f82b237c90769d794a9b8
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb4378553a8778690c2d504271254b501c800924a5010d6d7b749b8b5bb3c1ce4
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x62fd984e6d528ea5d90d04271254aa01fb00cb034bed8ff7c68ab46689708e28
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xa0c8383dcda0c54a4e9f04271254a002012c00392a9c010e18ad3f36a9a667f6
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x99f79c9d0fbbcc5c1168042712549802019f001c1719da2e1236815dfc69155a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xd7eb26a2889ead014363042712548f015400436d43bde1e27ddc8db36bab0ac1
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xaec9dbb34fd8b20b41540427125484020202006c899d54b6329364d8a5e474a7
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x0cc3f3897904c25fd34804271254770205da003073e5c8eabec5efbf33b97859
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x77ea2511a071f3777580042712546b0182006edf1167d7f464d70923429037ab
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xbee7e58fec193818c6be042712545e020122005285aa5fb3b57b8c7a8b1c67d1
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x26a9eedcb0512930a6af042712545501c200f7a4284c9754af4259d1c7799269
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x5e947227d778beff6e1d042712544702016800561520aafc8fbc152123fcf6e7
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb4d4c1f1fbcc7b46bb7b042712543a01a5004bcb679a119d97e92b46cbb6bd35
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xe46b9f1ef0f7fc0ad792042712542a015800aaced6bc09bdf52964b192e647cd
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x04c03e26f6ae22eaf24c042712541c0174005d33d2c8291a079ce59cb9a5a65a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xd169713aea3e690de356042712540d01430049f680ba9cea54139dd688d11d7d
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x51cd08c81cefc1eeadbb04271253ff01dd005420a6262260377da38da2d79f97
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xd6bce110ae78b2124fa704271253f101a1001d4587ea4f11b9c43d3702a0e213
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xa1d0505e5dc91eee5f2a04271253e201f20002d717800178cd9004125bb026a8
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xd13970df342606a77dd904271253d401bf008c933d92a30c1397dc6aa2b89e5e
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x569c3e4a056c98a3cb1f04271253ca02012200bec9a958ccce1b4d0029d0a835
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x585da0028fa57766e39304271253bc02013400fe186f685a55c880d912f5a2d4
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb28a76b9ecd6d902456d04271253ad01fe006258d543cc1e861b222cb50d685d
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x627b1702f590e183aecc04271253a302024200929497e245fab239b387d1bcf8
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x3f31cd80909483ba9c73042712539902019f006474ce1e00ee94b5086c098d2a
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x8b2c4b4d72cbe56a3ec1042712538b01db003b99f9768d570cf5b9e101977c81
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0x5757600cdc6fcb34cca00427125381018d00c1caa0527ef2854d6bbfb2190283
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,4 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},9.84,0xb2b9822a48a72053b97c042712537502017e0095f223bd1f0d4f82e4a48611fe
