class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x38757725fe2fe2353b3f04279b94b302013300149ff77acf8550ed5640ee52b2,1752660869045,HYPE,Transfer,-56.9,0x2222222222222222222222222222222222222222,0xb3debb76bb0c064397eadbb40437799c97b8f649,47.7875,0,-2719.10875,0
TRANSFER,0x9018518ea93cd467f6ca04279b94b1018b00794794e2f437132a19eb40062733,1752660868831,HYPE,Transfer,3683,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x2222222222222222222222222222222222222222,47.7875,0,176001.36250000002,0
TRANSFER,0x41f4fd15eda32eba2d8c04279b943e01bc00439adffd5a15ab54de8be6048ef5,1752660859891,HYPE,Transfer,0.7342535,0xdf16666281a1bc0835701bcee1335b6cce3bdb09,0x2222222222222222222222222222222222222222,47.7875,0,35.08813913125,0
TRANSFER,0x649cea86a8a59b98bfff04279b93d801440009197b5497ff6eede4228a12e594,1752660853030,HYPE,Transfer,4.52695585,0x3fc0677e35a596ac2327c96de9e33f11c9612dc1,0x2222222222222222222222222222222222222222,47.7875,0,216.33190268187502,0
TRANSFER,0xb8275577d577d29e6f1904279b93650201b300ccbb043e82f70d6f8119ec52cf,1752660844992,HYPE,Transfer,0.07658878,0xf589360cbcc1c00674812ffdde8684ad4fa86af3,0x2222222222222222222222222222222222222222,47.7875,0,3.6599863242499997,0
TRANSFER,0x174f192563ed42ebf5c104279b9348010d00d7307545342147649a4ce9587e67,1752660842673,HYPE,Transfer,27.41156705,0xa2b3f473150bedd1ef813420af56a80e1b812edb,0x2222222222222222222222222222222222222222,47.7875,0,1309.9302604018749,0
TRANSFER,0x67fb7ed86b7b740e982c04279b9327020126006014b713f4755e09b0f25abe75,1752660840045,HYPE,Transfer,-11,0x2222222222222222222222222222222222222222,0xdb4e664e5ad83470eaa81ee85445a59004b15c18,47.7875,0,-525.6625,0
TRANSFER,0x92f7910c1d749079c95e04279b929202012600d1256454ec3e3b126de93b356b,1752660829025,HYPE,Transfer,-0.7342535,0x2222222222222222222222222222222222222222,0xdf16666281a1bc0835701bcee1335b6cce3bdb09,47.7875,0,-35.08813913125,0
TRANSFER,0x92424eab7c297aae8c6104279b920c0201ba00ea155ab0a8bb5afa61c3b59e61,1752660819044,HYPE,Transfer,-50,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-2389.375,0
TRANSFER,0x94f0dc516edd1d7ecd3104279b919c02012500a764ac39337e00c3a8911b0fea,1752660811011,HYPE,Transfer,-0.07658878,0x2222222222222222222222222222222222222222,0xf589360cbcc1c00674812ffdde8684ad4fa86af3,47.7875,0,-3.6599863242499997,0
TRANSFER,0xc0baba4224308bf91e4d04279b90d7020274009b214ca8ba7ac49db42df0e051,1752660796000,HYPE,Transfer,-0.06906932,0x2222222222222222222222222222222222222222,0x11da4285b66cc7d61c32209508ac2bd3291c4f7e,47.7875,0,-3.3006501295,0
TRANSFER,0x0fd98407b21cdfdb2a6504279b8fc501bd00ac9c5b33e01f6d58e4058633cf51,1752660776228,HYPE,Transfer,900,0x55531a61506fc139c7c281c03b540c714bbb3752,0x2222222222222222222222222222222222222222,47.7875,0,43008.75,0
TRANSFER,0x8a354d6561dbd427acb004279b8e3d010100aed118172662ee1f03dc9e1a5578,1752660746033,HYPE,Transfer,-16.664,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-796.3309,0
TRANSFER,0x6f0fea46297ba88d177b04279b8d6f01090028627bb0e53df47ea674b0322d4b,1752660731089,HYPE,Transfer,-10,0x2222222222222222222222222222222222222222,0x57a48ac77bbe6bb8b98233cd1fbb656fa0afdd5c,47.7875,0,-477.875,0
TRANSFER,0xed657905d27cd349f3e304279b8ccb0136000f0486f4e678d07cec01e8e79ba8,1752660718639,HYPE,Transfer,0.3,0xede39603f330da4843bc7ad235b29df8b66289de,0x2222222222222222222222222222222222222222,47.7875,0,14.33625,0
TRANSFER,0xf7069afbd71a8a7602de04279b8c8f02013100c11c63c2d0d240ae708d906d47,1752660714073,HYPE,Transfer,-100,0x2222222222222222222222222222222222222222,0xbc5b3c01f39e18283ab259e1060d3a8c9f5a87aa,47.7875,0,-4778.75,0
TRANSFER,0x3b8deaa560d07f81765f04279b8c78010f00a134bd71f3fbc6bab278fa95ea55,1752660712032,HYPE,Transfer,-1277,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-61024.637500000004,0
TRANSFER,0x399169b2808c905c4ab504279b8bed02015400289d1bfb32c9711a368440d083,1752660701014,HYPE,Transfer,-0.1,0x2222222222222222222222222222222222222222,0x57a48ac77bbe6bb8b98233cd1fbb656fa0afdd5c,47.7875,0,-4.7787500000000005,0
TRANSFER,0x1f11b025bc525b413e1204279b8a2b012b00b7aa343fb113d6bad3879a3bd44b,1752660667187,HYPE,Transfer,100,0x55531a61506fc139c7c281c03b540c714bbb3752,0x2222222222222222222222222222222222222222,47.7875,0,4778.75,0
TRANSFER,0x967e1a031f74a43b3f8a04279b8a1a01ca00d02a6d833d37481d0c4cba8d7a6a,1752660666032,HYPE,Transfer,-10.23,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-488.866125,0
TRANSFER,0x31ef8be27aab29d098a704279b89d101bd00f17d1afb3197aa7d8abddbe5ea5c,1752660660036,HYPE,Transfer,-120,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-5734.5,0
TRANSFER,0x86b401fcd18ebaa6b25904279b894b0186008497904c7f3ed1f7c52ec6a57351,1752660649652,HYPE,Transfer,7.66802296,0xb0af47d2f715c8c848544077aed0b1eec70b3901,0x2222222222222222222222222222222222222222,47.7875,0,366.435647201,0
TRANSFER,0x65787068e5146fb7935c04279b88f101cf00009b929430060c58cda0c5e33eca,1752660642502,HYPE,Transfer,4.5,0x6d9aeaff06cebed4de0db720aa45d4a6a55ce516,0x2222222222222222222222222222222222222222,47.7875,0,215.04375000000002,0
TRANSFER,0x3ae5e84337ff778e130604279b88ac012d00e65866b38612dc8265dcade20f04,1752660637579,HYPE,Transfer,80,0x0ab7e23ac2c20d4a91d0266ccd2627082f2c839e,0x2222222222222222222222222222222222222222,47.7875,0,3823,0
TRANSFER,0xb2be2bbdc02f97335a8d04279b8867010500c5b044a553f19a79a0ecd556b2b8,1752660632835,HYPE,Transfer,6.23606881,0x468a3dd19a5b8cb94fa143d01fe44b151c648552,0x2222222222222222222222222222222222222222,47.7875,0,298.006138257875,0
TRANSFER,0x8ca2c64427ac61d62b9704279b8833013c0040e6796331549ad89927d41cdf48,1752660629182,HYPE,Transfer,87.66858902,0x6827d58147523c36e6faec356477e388fcf39d92,0x2222222222222222222222222222222222222222,47.7875,0,4189.46269779325,0
TRANSFER,0x5050d5ad1c5b25d7b3ef04279b871c012f00129a4e14c23b832e01a8f9d19b4f,1752660608296,HYPE,Transfer,0.76657994,0x1439cc57d37f3f028055c95e8f5dae6819e250a2,0x2222222222222222222222222222222222222222,47.7875,0,36.63293888275,0
TRANSFER,0x3dc7e6e10bcf1a57c7ef04279b87180201180041f6d8c60010427af6b7c76015,1752660608003,HYPE,Transfer,-10,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-477.875,0
TRANSFER,0xa48760ae6eb6647acd7504279b86b6011700605da4ce90fb09a3977fbf00a775,1752660600004,HYPE,Transfer,-5.3,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-253.27375,0
TRANSFER,0x09e4245278c0245681d504279b869601d60078452dbddc28f82096dd1b763309,1752660597276,HYPE,Transfer,0.074321,0x846248256abfedb3c12d465a7c9ccf19b79b41dd,0x2222222222222222222222222222222222222222,47.7875,0,3.5516147875,0
TRANSFER,0xe33d9b96ea4bcc0e59f404279b8668020128000dadb2d4e045f4d0d241e14dc0,1752660594077,HYPE,Transfer,-420.69,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-20103.723375,0
TRANSFER,0xc4b22d36880758d61d7204279b859a02011b00c3a3cb3a0f10133aba28bd6d39,1752660579038,HYPE,Transfer,-0.76657994,0x2222222222222222222222222222222222222222,0x1439cc57d37f3f028055c95e8f5dae6819e250a2,47.7875,0,-36.63293888275,0
TRANSFER,0x6df490c271195d692e6f04279b85820201030017be88384797297e28d392d097,1752660577322,HYPE,Transfer,43.879263,0x6827d58147523c36e6faec356477e388fcf39d92,0x2222222222222222222222222222222222222222,47.7875,0,2096.8802806125,0
TRANSFER,0xbc5ea285eb4a4b6bc27c04279b855602031e008b46d7265764626f2ebfce57a5,1752660574085,HYPE,Transfer,-11,0x2222222222222222222222222222222222222222,0x393d0b87ed38fc779fd9611144ae649ba6082109,47.7875,0,-525.6625,0
