token_name,listed_on_hyperevm,coingecko_id,symbol,hyperevm_address
usd₮0,No,,,
wrapped hype whype,No,,,
staked hype (sthype),No,,,
purr (purr),No,,,
feusd (feusd),No,,,
looped hype (lhype),No,,,
liquidlaunch (liqd),No,,,
hfun (hfun),No,,,
alright buddy (buddy),No,,,
pip (pip),No,,,
relend network usdc (rusdc),No,,,
usdeoft (usde),No,,,
hwhlp (hwhlp),No,,,
wrapped hlp (whlp),No,,,
unit bitcoin (ubtc),No,,,
kittenswap (kitten),No,,,
last usd (usdxl),No,,,
holy liquid (hl),No,,,
xaut0 (xaut0),No,,,
hyperstable (ush),No,,,
unit ethereum (ueth),No,,,
kei stablecoin (kei),No,,,
wild goat coin (wgc),No,,,
licko (licko),No,,,
