Token Name,Contract Address,Total Supply
USD₮0,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,64750153830119
Wrapped HYPE WHYPE,0x5555555555555555555555555555555555555555,14520060612281648458775310
Staked HYPE (stHYPE),0xfFaa4a3D97fE9107Cef8a3F48c069F577Ff76cC1,11459148190608729540799021
Purr (PURR),0x9b498C3c8A0b8CD8BA1D9851d40D186F1872b44E,600000000000000000000000000
feUSD (feUSD),0x02c6a2fA58cC01A18B8D9E00eA48d65E4dF26c70,79490743139344455557064536
Looped HYPE (LHYPE),0x5748ae796AE46A4F1348a1693de4b50560485562,1411440440887828952146424
LiquidLaunch (LIQD),0x1Ecd15865D7F8019D546f76d095d9c93cc34eDFa,1200000000000000000000000000
HFUN (HFUN),0xa320D9f65ec992EfF38622c63627856382Db726c,1000000000000000000000000
alright buddy (BUDDY),0x47bb061C0204Af921F43DC73C7D7768d2672DdEE,1000000000000000
PiP (PiP),0x1bEe6762F0B522c606DC2Ffb106C0BB391b2E309,1000000000000000000000000
Relend Network USDC (rUSDC),0x9ab96A4668456896d45c301Bc3A15Cee76AA7B8D,11863775719719
USDeOFT (USDe),0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,11542850785571000000000000
hwHLP (hwHLP),0x9FD7466f987Fd4C45a5BBDe22ED8aba5BC8D72d1,10985592629586
Wrapped HLP (WHLP),0x1359b05241cA5076c9F59605214f4F84114c0dE8,6342001572282
Unit Bitcoin (UBTC),0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,2100000000000000
Kittenswap (KITTEN),0x618275F8EFE54c2afa87bfB9F210A52F0fF89364,1058506000000000000000000000
Last USD (USDXL),0xca79db4B49f608eF54a5CB813FbEd3a6387bC645,3254332623831293758932151
Holy Liquid (HL),0x738dD55C272b0B686382F62DD4a590056839F4F6,1000000000000000
XAUt0 (XAUt0),0xf4D9235269a96aaDaFc9aDAe454a0618eBE37949,850440015
Hyperstable (USH),0x8fF0dd9f9C40a0d76eF1BcFAF5f98c1610c74Bd8,1883148886412484308649031
Unit Ethereum (UETH),0xBe6727B535545C67d5cAa73dEa54865B92CF7907,100000000000000000000000000
KEI Stablecoin (KEI),0xB5fE77d323d69eB352A02006eA8ecC38D882620C,1077053997843215427581956
Wild Goat Coin (WGC),0xc53ac24320E3A54C7211e4993c8095078a0Cb3Cf,1555032688791485
LICKO (LICKO),0xBf7F2B530c073e21EA0627F36DeEaec21A6adfec,1000000000000000000000000000
